,time,cum_sec,self_sec,calls,self_s_call,tot_s_call,namespace,class,function,definition
0,9.49,49.69,49.69,551804028.0,0.0,0.0,DQIntern,DepQuant,xDecide,"DQIntern::DepQuant::xDecide(DQIntern::ScanPosType, int, int, DQIntern::Decision*, bool, int)"
1,8.72,95.34,45.65,54767923.0,0.0,0.0,,CABACWriter,residual_coding_subblock,"CABACWriter::residual_coding_subblock(CoeffCodingContext&, int const*, int, int&)"
2,5.99,126.7,31.36,551804028.0,0.0,0.0,DQIntern,DepQuant,xDecideAndUpdate,"DQIntern::DepQuant::xDecideAndUpdate(int, DQIntern::ScanInfo const&, bool, int, int, int, bool)"
3,3.72,146.21,19.51,633656560.0,0.0,0.0,DQIntern,State,updateState,"void DQIntern::State::updateState<(unsigned char)5>(DQIntern::ScanInfo const&, DQIntern::State const*, DQIntern::Decision const&, int, bool)"
4,3.64,165.26,19.05,29523945.0,0.0,0.0,DQIntern,DepQuant,quant,"DQIntern::DepQuant::quant(TransformUnit&, AreaBuf<int const> const&, ComponentID, QpParam const&, double, Ctx const&, int&, bool, int*)"
5,3.6,184.11,18.85,53081810.0,0.0,0.0,,IntraPrediction,xPredIntraAng,"IntraPrediction::xPredIntraAng(AreaBuf<short const> const&, AreaBuf<short>&, ChannelType, ClpRng const&)"
6,3.22,200.99,16.88,581181348.0,0.0,0.0,DQIntern,State,updateState,"void DQIntern::State::updateState<(unsigned char)4>(DQIntern::ScanInfo const&, DQIntern::State const*, DQIntern::Decision const&, int, bool)"
7,2.54,214.3,13.31,507230480.0,0.0,0.0,,CodingStructure,getCU,"CodingStructure::getCU(Position const&, ChannelType)"
8,2.02,224.86,10.56,2769504.0,0.0,0.0,,IntraSearch,estIntraPredLumaQT,"IntraSearch::estIntraPredLumaQT(CodingUnit&, Partitioner&, double, bool, int, int, bool, CodingStructure*)"
9,2.0,235.34,10.48,74713684.0,0.0,0.0,DQIntern,State,updateStateEOS,"DQIntern::State::updateStateEOS(DQIntern::ScanInfo const&, DQIntern::State const*, DQIntern::State const*, DQIntern::Decision const&)"
10,1.73,244.43,9.09,2899870528.0,0.0,0.0,,CtxStore,getFracBitsArray,CtxStore<BinProbModel_Std>::getFracBitsArray(unsigned int) const
11,1.68,253.25,8.82,37476233.0,0.0,0.0,,CABACWriter,residual_coding,"CABACWriter::residual_coding(TransformUnit const&, ComponentID, CUCtx*)"
